Username,Last Activity,App Activity 7 days,Portal Activity 7 days,Country,Region
AAB_Aquora,2024-12-04T22:49:32.297Z,0,0,United States,Michigan
aishaniang,2020-12-07T20:17:26.739Z,0,0,United States,Texas
alexandro.disla,2025-01-03T03:44:48.208Z,0,3,Haiti,Departement de l'Ouest
Alex Bonhomme,2024-12-13T20:39:42.971Z,0,0,Haiti,Ouest
Barb S.,2024-11-06T19:10:26.584Z,0,0,United States,Florida
bobchagrasulis,2024-12-15T12:42:34.007Z,0,0,United States,Maine
bobwubbena,2024-12-14T20:16:30.563Z,0,0,United States,Washington
Brenda.Cressey,2021-08-23T14:14:54.724Z,0,0,United States,Maine
brent.krueger,2024-12-18T19:18:04.111Z,0,0,United States,Michigan
Brian.Hall,2024-12-05T19:24:41.559Z,0,0,United States,Florida
B.Stewart,2022-06-22T00:35:58.009Z,0,0,Canada,Quebec
carinsmith,2023-06-20T22:17:34.766Z,0,0,United States,Washington
caroline.noel,2024-11-12T19:40:10.601Z,0,0,Haiti,Ouest
Celigny Darius,2023-10-26T23:14:38.155Z,0,0,Haiti,Ouest
christinei,2024-11-16T16:54:07.793Z,0,0,United States,Florida
Claricia Clerveaux,2024-04-03T15:03:43.625Z,0,0,Haiti,Ouest
Covington1,2024-04-25T18:18:55.920Z,0,0,United States,Florida
D5060Hanwash,2024-11-12T19:44:41.989Z,0,0,Canada,British Columbia
DaleSnyder,2024-12-23T17:52:51.523Z,0,0,United States,Minnesota
dan balfe,2024-02-08T05:46:20.380Z,0,0,United States,California
dantil3,2024-12-19T15:23:50.141Z,0,0,Haiti,Departement de l'Ouest
DawnJohnson,2024-11-12T00:41:49.085Z,0,0,United States,Ohio
deborah.howell,2024-12-05T19:07:17.254Z,0,0,United States,Florida
Deleted User 1183,2023-10-29T11:34:12.154Z,0,0,Haiti,Ouest
Ditoine,2024-12-09T16:59:31.068Z,0,0,Haiti,Ouest
donthomas,2021-03-15T11:31:15.580Z,0,0,India,Karnataka
dsulger,2021-08-03T19:43:44.390Z,0,0,United States,Florida
Dukenson.flerency,2024-12-19T21:03:46.122Z,0,0,Haiti,Ouest
egwynn,2024-12-11T23:21:54.419Z,0,0,United States,Michigan
eliejoseph,2021-02-18T01:59:38.822Z,0,0,Haiti,Ouest
elodie,2022-06-10T14:08:42.635Z,0,0,Haiti,Ouest
elodie.herard,2024-12-13T15:48:58.411Z,0,0,Dominican Republic,Santo Domingo
emilybissoon,2023-06-30T12:57:50.306Z,0,0,Canada,Ontario
emmanuel.charles,2024-11-27T17:34:59.730Z,0,0,United States,Florida
exampleuser,2023-06-10T23:52:40.956Z,0,0,Spain,Madrid
gkarnes2,2022-05-23T19:56:34.965Z,0,0,United States,Virginia
HANWASH Test,2019-06-12T12:44:48.876Z,0,0,Haiti,
hramchandani,2018-12-22T15:58:35.458Z,0,0,Jamaica,Saint James
Isaac2019,2023-10-23T23:21:17.523Z,0,0,Haiti,Departement de l'Ouest
Jan.Pooley,2024-12-10T23:02:40.705Z,0,0,United States,Florida
JDK1,2022-04-19T23:51:27.974Z,0,0,Canada,British Columbia
jduerig,2024-12-21T15:26:26.438Z,0,0,United States,California
Jean Jackendy,2024-12-27T21:29:32.184Z,0,4,Haiti,Ouest
jeanjunior2050,2024-12-13T22:18:53.116Z,0,0,Haiti,Ouest
jean.marc.brissau,2024-12-05T20:39:59.249Z,0,0,United States,Florida
jean.marie.naissant,2024-12-12T14:59:31.725Z,0,0,Haiti,Departement de l'Ouest
jeffcoil,2024-09-10T19:14:56.872Z,0,0,United States,Texas
Jeremy Hurst,2021-08-24T02:46:08.410Z,0,0,Cayman Islands,George Town
jmiller,2022-03-29T20:16:54.390Z,0,0,United States,Florida
joanel.raymond,2024-11-08T19:46:58.018Z,0,0,Haiti,
JohnSmarge,2020-01-27T22:40:01.516Z,0,0,United States,Texas
jp.5 -HANWASH,2024-12-22T04:03:15.701Z,0,0,United States,Florida
JudyLo,2023-10-23T23:23:28.354Z,0,0,Haiti,Ouest
krfahy,2020-01-26T15:41:07.313Z,0,0,Haiti,Departement de l'Ouest
LindseyCancino,2024-11-12T00:38:21.453Z,0,0,Bahamas,New Providence
lizgoggins,2024-12-16T16:49:43.750Z,0,0,U.S. Virgin Islands,Saint Thomas Island
Magepa1,2024-11-12T16:26:26.587Z,0,0,Haiti,Ouest
margarette.georges,2024-11-27T17:12:51.177Z,0,0,United States,Florida
marlene,2024-02-06T23:10:26.558Z,0,0,Haiti,Ouest
Marpha,2023-10-26T23:18:36.756Z,0,0,Haiti,Ouest
mberdjidson,2024-12-25T17:55:25.280Z,0,0,Haiti,Ouest
Meg Orazio,2022-01-06T01:48:26.632Z,0,0,United States,Connecticut
mgay,2020-02-11T18:01:32.186Z,0,0,Haiti,Centre
MichelWisquenndy2023,2023-10-26T23:39:58.991Z,0,0,Haiti,Ouest
Micul23,2023-10-23T23:09:36.490Z,0,0,Haiti,Ouest
mmbutschler,2024-11-27T20:33:32.781Z,0,0,Canada,British Columbia
Nagjyoti B,2024-02-05T14:58:29.073Z,0,0,India,Maharashtra
NeilVD,2025-01-02T22:31:20.580Z,0,6,Haiti,Ouest
NEYOO,2023-10-23T23:37:31.094Z,0,0,Haiti,Ouest
nickkrayacich,2019-05-08T01:26:31.163Z,0,0,Canada,Ontario
nicksen,2022-04-06T14:07:57.771Z,0,0,Haiti,Departement de l'Ouest
nixons,2024-11-11T22:06:03.773Z,0,0,Haiti,Ouest
Obdias15,2024-12-21T17:46:01.119Z,0,0,Haiti,Ouest
okhwaterrotary,2020-07-01T12:14:18.819Z,0,0,United States,Michigan
PDASILVA,2021-08-26T11:00:32.994Z,0,0,Canada,Quebec
primef,2023-10-26T23:29:20.663Z,0,0,Haiti,Ouest
r5leger,2024-11-15T11:33:13.218Z,0,0,Haiti,Ouest
rharmon,2022-06-22T15:05:53.982Z,0,0,United States,Texas
rhawker,2024-06-10T19:22:42.442Z,0,0,United States,Texas
robert.hobaugh,2024-12-23T21:46:07.982Z,0,0,United States,Pennsylvania
ron.denham WASH-RAG,2024-11-12T20:17:18.784Z,0,0,Canada,Ontario
ryan.rowe,2025-01-02T20:47:45.066Z,0,8,El Salvador,San Salvador
Sandra.Hemstead,2024-12-17T19:47:45.165Z,0,0,United States,Florida
sarahpalmer,2022-01-12T19:24:03.213Z,0,0,United States,California
Sedilly,2020-09-15T18:47:43.509Z,0,0,United States,Washington
sgoldsen,2024-11-12T17:33:27.181Z,0,0,United States,Florida
SheilaB,2024-12-02T15:34:25.432Z,0,0,Bahamas,New Providence
SMartin,2023-02-13T20:56:22.033Z,0,0,United States,California
stanfike,2020-11-18T21:10:27.477Z,0,0,Canada,British Columbia
StefaniGeorges,2024-01-18T16:56:59.080Z,0,0,Haiti,Ouest
steveleonard,2024-12-25T04:34:38.219Z,0,0,United States,Wisconsin
steverhunt,2025-01-02T22:44:26.513Z,99,481,United States,Georgia
tedkirchharr,2021-07-15T13:51:03.162Z,0,0,United States,Florida
TerryM,2024-11-13T17:07:09.754Z,0,0,United States,Michigan
Theline,2023-10-26T03:09:33.912Z,0,0,Haiti,Ouest
ThomasKSchmidt,2024-12-03T18:15:51.731Z,0,0,United States,Michigan
ToothXprt,2023-08-28T21:29:48.614Z,0,0,United States,Texas
Tristam,2024-11-13T19:30:31.904Z,0,0,United States,Massachusetts
Valerfie Jenkinson,2021-07-14T14:53:58.850Z,0,0,Canada,British Columbia
veronique.doyon,2024-12-13T15:40:08.341Z,0,0,Canada,Quebec
Volmanuel,2023-10-23T22:48:16.474Z,0,0,Haiti,Ouest
wacarlton,2022-06-10T02:44:44.346Z,0,0,United States,Texas
Wade Nomura,2021-10-18T17:02:40.940Z,0,0,United States,California
washdominique,2023-09-25T23:43:05.655Z,0,0,Haiti,Ouest
websterlie,2023-10-23T23:23:58.375Z,0,0,Haiti,Ouest
wenderson02,2023-07-27T21:41:59.768Z,0,0,Haiti,Ouest
Wildaine,2024-11-15T01:08:50.876Z,0,0,Haiti,Ouest
yvette.guerrier,2024-11-09T19:28:00.237Z,0,0,United States,Florida
